Unnamed: 0,speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_11,cluster_3,cluster_10,cluster_5,cluster_1,cluster_6,cluster_0,cluster_8,cluster_7,cluster_4,cluster_9,cluster_2,cluster_12,cluster_11_p,cluster_3_p,cluster_10_p,cluster_5_p,cluster_1_p,cluster_6_p,cluster_0_p,cluster_8_p,cluster_7_p,cluster_4_p,cluster_9_p,cluster_2_p,cluster_12_p,n
2014,43054340,430003450,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18731209,1814-04-12,1814,1873,59,0.0,0,4,0,0,1,0,1,0,1,3,0,0,0,0.0,0.4,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.3,0.0,0.0,0.0,10
2396,43049300,430004065,STEPHENS,ALEXANDER,H,GA,M,D,8.0,voting,18731211,1812-02-11,1812,1873,61,0.0,1,8,0,0,1,0,0,0,0,0,0,0,0,0.1,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
9311,43042950,430015765,LOUGHRIDGE,WILLIAM,H,IA,M,R,6.0,voting,18740131,1827-07-11,1827,1874,47,0.0,0,5,0,1,2,0,1,0,1,0,0,0,0,0.0,0.5,0.0,0.1,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,10
15285,43043360,430025059,RICE,JOHN,H,IL,M,R,1.0,voting,18740225,1809-05-28,1809,1874,65,0.0,0,3,0,1,1,0,1,0,3,1,0,0,0,0.0,0.3,0.0,0.1,0.1,0.0,0.1,0.0,0.3,0.1,0.0,0.0,0.0,10
15855,43040431,430025855,SUMNER,CHARLES,S,MA,M,L,,voting,18740227,1811-01-06,1811,1874,63,0.0,0,8,0,0,0,0,1,0,1,0,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,10
16167,43043090,430026336,MELLISH,DAVID,H,NY,M,R,9.0,voting,18740228,1831-01-02,1831,1874,43,0.0,0,7,0,0,0,0,0,0,0,3,0,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,10
17523,43054340,430028463,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18740307,1814-04-12,1814,1874,60,0.0,0,8,0,0,1,0,0,0,0,0,0,0,0,0.0,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
17525,43054340,430028465,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18740307,1814-04-12,1814,1874,60,0.0,0,5,0,1,0,0,4,0,0,0,0,0,0,0.0,0.5,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,10
92039,43055250,430032853,WHITTHORNE,WASHINGTON,H,TN,M,D,6.0,voting,18740324,1825-04-19,1825,1874,49,0.0,1,4,0,0,0,0,3,2,0,0,0,0,0,0.1,0.4,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,10
21952,43053210,430036044,PHELPS,WILLIAM,H,NJ,M,R,5.0,voting,18740401,1839-08-24,1839,1874,35,0.0,0,9,0,0,0,0,1,0,0,0,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
