Unnamed: 0,speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_6,cluster_0,cluster_7,cluster_1,cluster_2,cluster_9,cluster_4,cluster_12,cluster_11,cluster_5,cluster_8,cluster_10,cluster_3,cluster_6_p,cluster_0_p,cluster_7_p,cluster_1_p,cluster_2_p,cluster_9_p,cluster_4_p,cluster_12_p,cluster_11_p,cluster_5_p,cluster_8_p,cluster_10_p,cluster_3_p,n
4089,43042251,430007012,BOGY,LEWIS,S,MO,M,D,,voting,18740105,1813-04-09,1813,1874,61,0.0,0,7,0,1,2,0,0,0,0,0,0,0,0,0.0,0.7,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4267,43040651,430007300,FLANAGAN,JAMES,S,TX,M,R,,voting,18740106,1805-09-05,1805,1874,69,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4269,43040651,430007303,FLANAGAN,JAMES,S,TX,M,R,,voting,18740106,1805-09-05,1805,1874,69,0.0,0,2,0,0,1,0,1,0,5,1,0,0,0,0.0,0.2,0.0,0.0,0.1,0.0,0.1,0.0,0.5,0.1,0.0,0.0,0.0,10
91158,43042590,430007395,ELLIOTT,ROBERT,H,SC,M,R,3.0,voting,18740106,1842-08-11,1842,1874,32,0.0,0,2,0,0,7,0,0,0,0,0,0,0,0,0.0,0.2222222222222222,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
78591,43045660,430007718,BUTLER,BENJAMIN,H,MA,M,R,6.0,voting,18740107,1818-11-05,1818,1874,56,0.0,0,9,0,0,1,0,0,0,0,0,0,0,0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5200,43045670,430008856,CAIN,RICHARD,H,SC,M,R,-1.0,voting,18740110,1825-04-12,1825,1874,49,0.0,0,2,0,0,7,0,0,0,0,0,0,0,0,0.0,0.2222222222222222,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
7955,43046460,430013410,ROBBINS,WILLIAM,H,NC,M,D,7.0,voting,18740124,1828-10-26,1828,1874,46,0.0,1,8,0,1,0,0,0,0,0,0,0,0,0,0.1,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
91664,43050520,430023537,POLAND,LUKE,H,VT,M,R,2.0,voting,18740219,1815-11-01,1815,1874,59,1.0914926153799048e-14,1,0,0,8,1,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
91810,43040651,430028231,FLANAGAN,JAMES,S,TX,M,R,,voting,18740306,1805-09-05,1805,1874,69,0.0,0,1,0,0,9,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
18303,43042051,430029930,WEST,JOSEPH,S,LA,M,R,,voting,18740318,1822-09-19,1822,1874,52,0.0,1,12,3,3,0,0,0,0,0,0,0,0,0,0.05263157894736842,0.631578947368421,0.15789473684210525,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
18332,43051751,430029988,LOGAN,JOHN,S,IL,M,R,,voting,18740318,1826-02-09,1826,1874,48,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
22607,43042400,430037189,COBURN,JOHN,H,IN,M,R,5.0,voting,18740403,1825-10-27,1825,1874,49,3.338725108294981e-10,0,4,0,0,5,0,1,0,0,0,0,0,0,0.0,0.4,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
30054,43040721,430049692,ALCORN,JAMES,S,MS,M,R,,voting,18740505,1816-11-04,1816,1874,58,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
40087,43048000,430065683,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18740606,1831-11-19,1831,1874,43,0.0,0,2,0,0,8,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
58171,43046410,430095363,RAINEY,JOSEPH,H,SC,M,R,1.0,voting,18750203,1832-06-21,1832,1875,43,0.0,1,5,1,0,3,0,0,0,0,0,0,0,0,0.1,0.5,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
65159,43053990,430106484,COX,SAMUEL,H,NY,M,D,6.0,voting,18750223,1824-09-30,1824,1875,51,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
